,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop
0,"(41.41060463316045, 2.215476882422315)","(41.41000306464148, 2.2128988949401704)",34.8,225.7,6.485632183908046,4.625,5.088,0.0020513948635765555,0.20513948635765555,0.0020513919860095844,1,0
1,"(41.41000306464148, 2.2128988949401704)","(41.409164810781114, 2.209544689985187)",26.5,294.8,11.124528301886793,5.088,5.186,0.00033242893348393637,0.033242893348393636,0.0003324289212384746,1,0
2,"(41.409164810781114, 2.209544689985187)","(41.40790854167561, 2.204555454044634)",39.5,439.1,11.116455696202532,5.186,4.31,-0.001994989586701781,-0.19949895867017808,-0.001994986940032921,1,0
3,"(41.40790854167561, 2.204555454044634)","(41.4063572659079, 2.19831235827239)",53.4,548.6,10.273408239700375,4.31,5.093,0.0014272693991443774,0.14272693991443774,0.0014272684299830455,1,0
4,"(41.4063572659079, 2.19831235827239)","(41.405444214124714, 2.1947042260723233)",30.6,317.6,10.379084967320262,5.093,5.256,0.0005132245176685246,0.05132245176685246,0.0005132244726075208,1,0
5,"(41.405444214124714, 2.1947042260723233)","(41.40457126012947, 2.191226915332414)",27.5,305.8,11.120000000000001,5.256,6.927,0.005464355800571279,0.5464355800571279,0.005464301414476626,1,0
6,"(41.40457126012947, 2.191226915332414)","(41.404266, 2.18802)",105.0,299.0,2.84761905,6.927,12.183,0.01757859386329268,1.757859386329268,0.017576783562954865,1,0
7,"(41.404266, 2.18802)","(41.40362832319659, 2.186434169726906)",63.0,161.0,2.555555556,12.183,15.326,0.019521742874050733,1.9521742874050734,0.019519263538998525,0,0
8,"(41.40362832319659, 2.186434169726906)","(41.402423, 2.185287)",63.0,166.0,2.63492063,15.326,15.083,-0.001463855605527579,-0.1463855605527579,-0.001463854559909925,1,0
9,"(41.402423, 2.185287)","(41.400555953839586, 2.182694553676593)",116.0,302.0,2.60344828,15.083,13.092,-0.006592715812834683,-0.6592715812834683,-0.006592620300274609,0,0
10,"(41.400555953839586, 2.182694553676593)","(41.39873892760221, 2.180295398546257)",42.096,301.0,7.150323071075637,13.092,15.764,0.008877076183838702,0.8877076183838702,0.008876843016318976,1,0
11,"(41.39873892760221, 2.180295398546257)","(41.396190517010055, 2.176897936515442)",48.283,401.0,8.305200588198744,15.764,17.617,0.004620949229100101,0.4620949229100101,0.004620916338880597,1,0
12,"(41.396190517010055, 2.176897936515442)","(41.395254, 2.175051)",25.698,196.0,7.627052688925208,17.617,19.809,0.011183670588902064,1.1183670588902064,0.011183204359932544,1,0
13,"(41.395254, 2.175051)","(41.3937615944896, 2.173665520500619)",27.967,215.0,7.687631851825366,19.809,19.114,-0.0032325567201126454,-0.32325567201126454,-0.0032325454607324464,0,0
14,"(41.3937615944896, 2.173665520500619)","(41.3919370694665, 2.1712363131296697)",34.451,286.0,8.301645815796348,19.114,20.846,0.00605594528304947,0.605594528304947,0.006055871251810692,1,0
15,"(41.3919370694665, 2.1712363131296697)","(41.39029536168582, 2.1690549291018546)",35.424,256.0,7.226738934056008,20.846,22.309,0.005714841187000275,0.5714841187000275,0.0057147789737726365,1,0
16,"(41.39029536168582, 2.1690549291018546)","(41.39013837146819, 2.1675597230080714)",39.2,181.7,4.6352040816326525,22.309,24.223,0.010533844565190518,1.0533844565190518,0.01053345497272463,1,0
17,"(41.39013837146819, 2.1675597230080714)","(41.39179965756838, 2.1655030482429694)",26.8,252.1,9.406716417910447,24.223,28.355,0.016390321180017542,1.6390321180017542,0.016388853703559032,1,0
18,"(41.39179965756838, 2.1655030482429694)","(41.393521839080556, 2.1633625901606823)",26.9,261.8,9.732342007434946,28.355,33.332,0.019010699733329056,1.9010699733329055,0.01900841003170399,1,0
19,"(41.393521839080556, 2.1633625901606823)","(41.396140312555424, 2.160124920212736)",41.8,397.2,9.502392344497608,33.332,43.058,0.024486399609276656,2.4486399609276654,0.024481507486535443,1,0
20,"(41.396140312555424, 2.160124920212736)","(41.396554, 2.159319)",24.7,105.6,4.275303643724696,43.058,45.382,0.022007588184241093,2.2007588184241094,0.02200403620910781,1,0
21,"(41.396554, 2.159319)","(41.3954459384991, 2.1549125635510133)",50.7,398.5,7.8599605522682445,45.382,47.825,0.006130491326115511,0.6130491326115511,0.006130414527250974,0,0
22,"(41.3954459384991, 2.1549125635510133)","(41.39430186447656, 2.150402988714372)",51.8,426.8,8.23938223938224,47.825,48.48,0.001534673803413484,0.1534673803413484,0.0015346725985818242,1,0
23,"(41.39430186447656, 2.150402988714372)","(41.393154311948074, 2.145855117579943)",57.6,400.3,6.949652777777778,48.48,49.148,0.001668746608988571,0.1668746608988571,0.0016687450599964517,1,0
24,"(41.393154311948074, 2.145855117579943)","(41.392846, 2.144027)",27.5,170.0,6.181818181818182,49.148,52.094,0.01732942917767693,1.732942917767693,0.017327694761665895,1,0
25,"(41.392846, 2.144027)","(41.39164968454822, 2.1400225790372005)",47.1,372.4,7.906581740976645,52.094,57.214,0.013748654489486482,1.3748654489486483,0.013747788305625218,0,0
26,"(41.39164968454822, 2.1400225790372005)","(41.39071004982654, 2.136321962467283)",33.8,326.0,9.644970414201184,57.214,61.097,0.011911041166153422,1.1911041166153422,0.011910477929440109,1,0
27,"(41.39071004982654, 2.136321962467283)","(41.38951262719177, 2.131617420018137)",41.2,414.5,10.060679611650485,61.097,62.885,0.004313626536701786,0.4313626536701786,0.0043135997819132126,1,0
28,"(41.38951262719177, 2.131617420018137)","(41.3884442961452, 2.127385634211721)",120.0,373.0,3.10833333333,62.885,63.774,0.0023833778524526643,0.23833778524526644,0.0023833733395500364,1,0
29,"(41.3884442961452, 2.127385634211721)","(41.38696406737506, 2.1215526289288724)",120.0,515.0,4.2916666667,63.774,66.219,0.004747579630138805,0.4747579630138805,0.004747543961244619,1,0
30,"(41.38696406737506, 2.1215526289288724)","(41.3855931238466, 2.116136628335877)",62.9,477.4,7.589825119236884,66.219,67.713,0.0031294421166818314,0.31294421166818315,0.00312943190077408,1,0
31,"(41.3855931238466, 2.116136628335877)","(41.38472912005672, 2.1114428497521156)",57.2,433.3,7.575174825174825,67.713,76.617,0.02054927147152846,2.054927147152846,0.020546379739676,1,1
32,"(41.38472912005672, 2.1114428497521156)","(41.38422160568104, 2.1116123869112986)",34.9,162.7,4.66189111747851,76.617,76.22,-0.002440046370212623,-0.24400463702126232,-0.002440041527692514,1,0
33,"(41.38422160568104, 2.1116123869112986)","(41.384583, 2.113611)",38.9,188.4,4.843187660668381,76.22,72.965,-0.017277095980958068,-1.7277095980958068,-0.01727537722897975,1,0
34,"(41.384583, 2.113611)","(41.38507685309595, 2.1156830007031027)",16.4,181.7,11.079268292682928,72.965,69.357,-0.019856874406108112,-1.9856874406108111,-0.019854265198209084,0,0
35,"(41.38507685309595, 2.1156830007031027)","(41.385849729576854, 2.1187334412313708)",24.2,268.7,11.103305785123966,69.357,66.78,-0.009590634458518446,-0.9590634458518446,-0.00959034042503197,1,0
36,"(41.385849729576854, 2.1187334412313708)","(41.38693206051302, 2.1229849851483484)",38.0,374.6,9.857894736842105,66.78,65.63,-0.0030699453440440633,-0.3069945344044063,-0.0030699356997993836,1,0
37,"(41.38693206051302, 2.1229849851483484)","(41.38758877815492, 2.125576575198668)",21.5,228.2,10.613953488372092,65.63,64.413,-0.005333020329788837,-0.5333020329788837,-0.005332969771653046,1,0
38,"(41.38758877815492, 2.125576575198668)","(41.38844259710555, 2.128933942142265)",37.6,295.8,7.867021276595745,64.413,63.266,-0.0038776307431647224,-0.3877630743164722,-0.0038776113086286842,1,0
