,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop
0,"(41.37554737996402, 2.135554292838076)","(41.3771269419944, 2.1376453016698425)",62.3,316.9,5.086677367576244,31.176,30.036,-0.0035973534143170414,-0.35973534143170416,-0.0035973378967120695,1,0
1,"(41.3771269419944, 2.1376453016698425)","(41.37978728937693, 2.1410880472969795)",135.7,618.4,4.55711127487104,30.036,30.593,0.0009007133148311798,0.09007133148311798,0.0009007130712530554,1,0
2,"(41.37978728937693, 2.1410880472969795)","(41.38047215602627, 2.1436143326882826)",58.8,265.0,4.506802721088436,30.593,31.633,0.0039245245591649465,0.39245245591649464,0.003924504410982006,1,0
3,"(41.38047215602627, 2.1436143326882826)","(41.3807, 2.146928)",54.0,344.3,6.375925925925926,31.633,-32767.0,-95.26178568835317,-9526.178568835317,-1.560299323579189,1,0
4,"(41.3807, 2.146928)","(41.38104836638838, 2.147948033000961)",15.6,120.8,7.743589743589744,-32767.0,27.271,271.4757411527318,27147.574115273183,1.567112773071482,0,0
5,"(41.38104836638838, 2.147948033000961)","(41.3835759022604, 2.1513030729590037)",41.0,396.8,9.678048780487805,27.271,26.527,-0.0018749986925432759,-0.1874998692543276,-0.0018749964952868823,1,0
6,"(41.3835759022604, 2.1513030729590037)","(41.38602007806764, 2.1545372876502054)",45.7,383.5,8.391684901531729,26.527,26.85,0.0008422423838947401,0.08422423838947402,0.0008422421847403713,1,0
7,"(41.38602007806764, 2.1545372876502054)","(41.38854563338069, 2.157891256250179)",35.5,396.6,11.171830985915493,26.85,29.953,0.007824000840949339,0.7824000840949339,0.007823841198103932,1,0
8,"(41.38854563338069, 2.157891256250179)","(41.390198101499976, 2.160080878305513)",20.7,259.2,12.521739130434783,29.953,31.603,0.006365746627619237,0.6365746627619238,0.006365660643898922,1,0
9,"(41.390198101499976, 2.160080878305513)","(41.39234566903645, 2.162947820525286)",29.6,338.1,11.422297297297298,31.603,32.01,0.0012037790022598712,0.12037790022598711,0.0012037784208014585,1,0
10,"(41.39234566903645, 2.162947820525286)","(41.394665715733176, 2.166027845652521)",43.0,364.2,8.469767441860466,32.01,31.844,-0.00045578928847420287,-0.045578928847420284,-0.0004557892569117291,1,0
11,"(41.394665715733176, 2.166027845652521)","(41.39698770791255, 2.1691093559853383)",40.5,364.2,8.992592592592592,31.844,30.189,-0.004544208365308918,-0.45442083653089177,-0.004544177086653551,1,0
12,"(41.39698770791255, 2.1691093559853383)","(41.39887304932722, 2.171627740393997)",32.1,296.8,9.246105919003115,30.189,28.615,-0.005303232496318149,-0.5303232496318149,-0.005303182780634197,1,0
13,"(41.39887304932722, 2.171627740393997)","(41.400688371844836, 2.1740578333392984)",37.9,286.3,7.5540897097625335,28.615,27.925,-0.002410061243652173,-0.2410061243652173,-0.002410056577472383,1,0
14,"(41.400688371844836, 2.1740578333392984)","(41.40320779542744, 2.1774174152916523)",38.9,396.2,10.18508997429306,27.925,24.407,-0.008879352975890589,-0.8879352975890589,-0.008879119628922122,1,0
15,"(41.40320779542744, 2.1774174152916523)","(41.40468793175022, 2.179402818280248)",23.3,233.7,10.030042918454935,24.407,24.21,-0.0008429632158324308,-0.08429632158324307,-0.0008429630161662864,1,0
16,"(41.40468793175022, 2.179402818280248)","(41.406488407057125, 2.18180444703651)",25.5,283.3,11.109803921568627,24.21,22.055,-0.007606772959042976,-0.7606772959042976,-0.007606626247248266,1,0
17,"(41.406488407057125, 2.18180444703651)","(41.40934537604797, 2.1856123361575497)",40.4,449.4,11.123762376237623,22.055,21.605,-0.0010013368111692327,-0.10013368111692328,-0.0010013364764975016,1,0
18,"(41.40934537604797, 2.1856123361575497)","(41.411225751493646, 2.1880891817884955)",35.1,294.0,8.376068376068377,21.605,17.765,-0.013061225008802349,-1.3061225008802348,-0.013060482355650039,1,0
19,"(41.411225751493646, 2.1880891817884955)","(41.413913, 2.191595)",44.5,418.2,9.397752808988765,17.765,18.137,0.0008895259220482686,0.08895259220482686,0.0008895256874340305,1,0
20,"(41.413913, 2.191595)","(41.41414938763065, 2.1928364920870345)",20.1,156.4,7.781094527363184,18.137,15.291,-0.018196923043721776,-1.8196923043721775,-0.01819491493904253,0,0
21,"(41.41414938763065, 2.1928364920870345)","(41.41497005378726, 2.1955473075831717)",39.0,308.1,7.9,15.291,9.857,-0.017637130851213205,-1.7637130851213205,-0.0176353024078623,1,0
22,"(41.41497005378726, 2.1955473075831717)","(41.416481498483314, 2.1975699607897905)",21.4,238.1,11.126168224299066,9.857,9.209,-0.0027215485811133387,-0.2721548581113339,-0.0027215418617969867,1,0
23,"(41.416481498483314, 2.1975699607897905)","(41.41815999346152, 2.199803510609551)",29.1,263.7,9.061855670103093,9.209,7.996,-0.004599923476333821,-0.4599923476333821,-0.004599891033031587,1,0
24,"(41.41815999346152, 2.199803510609551)","(41.41986415462875, 2.2020781892987924)",24.1,268.2,11.12863070539419,7.996,8.664,0.0024906776450979986,0.24906776450979987,0.0024906724948315574,1,0
25,"(41.41986415462875, 2.2020781892987924)","(41.422626554616585, 2.2057650029970057)",62.9,434.6,6.909379968203498,8.664,10.942,0.005241603386111376,0.5241603386111375,0.0052415553835894035,1,0
26,"(41.422626554616585, 2.2057650029970057)","(41.42469187953327, 2.208522732954988)",36.8,325.1,8.834239130434783,10.942,12.909,0.006050446040078113,0.6050446040078112,0.006050372210330705,1,0
27,"(41.42469187953327, 2.208522732954988)","(41.42559, 2.209673)",35.4,138.9,3.9237288135593222,12.909,14.449,0.01108711275632129,1.108711275632129,0.011086658498818834,1,0
28,"(41.42559, 2.209673)","(41.42682985801737, 2.2110729909063256)",31.7,180.1,5.681388012618297,14.449,12.238,-0.01227651550530196,-1.227651550530196,-0.012275898818256397,0,0
29,"(41.42682985801737, 2.2110729909063256)","(41.42856, 2.212357)",22.4,220.7,9.852678571428571,12.238,11.376,-0.003905752205340961,-0.3905752205340961,-0.003905732344902593,1,0
30,"(41.42856, 2.212357)","(41.43270931760881, 2.216040808913763)",70.3,568.9,8.092460881934565,11.376,9.612,-0.003100720581762777,-0.3100720581762777,-0.0031007106445603673,0,0
