,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop
0,"(41.36914810923071, 2.1879456325809294)","(41.370738432739174, 2.1877177729599104)",44.5,185.4,4.166292134831461,2.785,2.597,-0.0010140248229717102,-0.10140248229717101,-0.0010140244754161531,1,0
1,"(41.370738432739174, 2.1877177729599104)","(41.37433186395595, 2.188567306272124)",98.4,409.9,4.1656504065040645,2.597,3.187,0.0014393758296850224,0.14393758296850223,0.0014393748356519766,1,0
2,"(41.37433186395595, 2.188567306272124)","(41.37609862972344, 2.1889419239805714)",48.3,201.3,4.167701863354038,3.187,4.438,0.006214605891402538,0.6214605891402538,0.006214525887815608,1,0
3,"(41.37609862972344, 2.1889419239805714)","(41.37764895040524, 2.1883622495722315)",43.0,179.0,4.162790697674419,4.438,4.481,0.00024022203583957098,0.024022203583957097,0.00024022203121877003,1,0
4,"(41.37764895040524, 2.1883622495722315)","(41.37999541040556, 2.1874331904520514)",43.7,272.3,6.231121281464531,4.481,4.306,-0.0006426724711630741,-0.06426724711630741,-0.0006426723826825412,1,0
5,"(41.37999541040556, 2.1874331904520514)","(41.382024, 2.186391)",81.7,533.1,6.525091799265606,4.306,5.223,0.0017201272123326416,0.17201272123326417,0.0017201255158099474,1,0
6,"(41.382024, 2.186391)","(41.38255034318391, 2.1850045973391805)",19.1,132.5,6.93717277486911,5.223,4.396,-0.006241510499198482,-0.6241510499198482,-0.006241429452055407,0,0
7,"(41.38255034318391, 2.1850045973391805)","(41.38483869935266, 2.185399375374405)",38.0,354.4,9.326315789473684,4.396,5.713,0.0037161397072854488,0.37161397072854485,0.0037161226011760457,1,0
8,"(41.38483869935266, 2.185399375374405)","(41.38780425169761, 2.183053903806415)",42.3,434.3,10.267139479905438,5.713,6.624,0.0020976289472024396,0.20976289472024395,0.0020976258706551032,1,0
9,"(41.38780425169761, 2.183053903806415)","(41.389501481336666, 2.1835283350133055)",35.1,263.8,7.515669515669516,6.624,7.121,0.0018840020492819785,0.18840020492819784,0.001883999820221084,1,0
10,"(41.389501481336666, 2.1835283350133055)","(41.39118888092784, 2.181294611542364)",26.2,264.6,10.099236641221376,7.121,9.898,0.010495086736239362,1.049508673623936,0.010494701428137222,1,0
11,"(41.39118888092784, 2.181294611542364)","(41.391566, 2.180164)",26.5,111.8,4.218867924528301,9.898,11.243,0.012030413837466983,1.2030413837466982,0.01202983349716005,1,0
12,"(41.391566, 2.180164)","(41.39127422464899, 2.178718374798961)",21.1,126.8,6.009478672985781,11.243,12.166,0.007279182458149522,0.7279182458149522,0.007279053896109606,0,0
13,"(41.39127422464899, 2.178718374798961)","(41.390248726563414, 2.175962376494219)",23.1,256.6,11.108225108225108,12.166,13.986,0.007092750174685186,0.7092750174685186,0.007092631239699109,1,0
14,"(41.390248726563414, 2.175962376494219)","(41.389020284625204, 2.172785700915153)",36.2,298.2,8.23756906077348,13.986,16.804,0.009450036195362279,0.9450036195362279,0.009449754904326887,1,0
15,"(41.389020284625204, 2.172785700915153)","(41.3889120165609, 2.1692509793401307)",81.3,377.0,4.6371463714637144,16.804,21.522,0.012514584892940774,1.2514584892940774,0.01251393163110976,1,0
16,"(41.3889120165609, 2.1692509793401307)","(41.39013837146819, 2.1675597230080714)",41.3,205.3,4.970944309927361,21.522,24.223,0.013156357591929112,1.3156357591929113,0.0131555985938918,1,0
17,"(41.39013837146819, 2.1675597230080714)","(41.39179965756838, 2.1655030482429694)",26.8,252.1,9.406716417910447,24.223,28.355,0.016390321180017542,1.6390321180017542,0.016388853703559032,1,0
18,"(41.39179965756838, 2.1655030482429694)","(41.393521839080556, 2.1633625901606823)",26.9,261.8,9.732342007434946,28.355,33.332,0.019010699733329056,1.9010699733329055,0.01900841003170399,1,0
19,"(41.393521839080556, 2.1633625901606823)","(41.396140312555424, 2.160124920212736)",41.8,397.2,9.502392344497608,33.332,43.058,0.024486399609276656,2.4486399609276654,0.024481507486535443,1,0
20,"(41.396140312555424, 2.160124920212736)","(41.396554, 2.159319)",24.7,105.6,4.275303643724696,43.058,45.382,0.022007588184241093,2.2007588184241094,0.02200403620910781,1,0
21,"(41.396554, 2.159319)","(41.39607008509037, 2.1555602134654706)",37.9,367.6,9.699208443271768,45.382,48.127,0.007467352915899797,0.7467352915899796,0.007467214123959643,0,0
22,"(41.39607008509037, 2.1555602134654706)","(41.399564108384126, 2.1522924204075515)",59.8,477.5,7.9849498327759205,48.127,60.136,0.025149743844077223,2.514974384407722,0.025144443370556543,1,0
23,"(41.399564108384126, 2.1522924204075515)","(41.40140739913314, 2.1473767661894496)",90.6,486.0,5.364238410596027,60.136,-32767.0,-67.54554880401234,-6754.554880401234,-1.5559925837449344,1,0
24,"(41.40140739913314, 2.1473767661894496)","(41.401926, 2.146282)",16.2,107.6,6.6419753086419755,-32767.0,76.052,305.2328139521376,30523.28139521376,1.5675201507859247,1,0
25,"(41.401926, 2.146282)","(41.4021, 2.14597)",83.1,458.8,5.521058965102287,76.052,76.688,0.0013862283934482618,0.1386228393448262,0.0013862275055103184,0,0
26,"(41.4021, 2.14597)","(41.40304982242223, 2.1439593308726415)",28.0,199.4,7.121428571428572,76.688,81.844,0.025857563841426623,2.5857563841426625,0.02585180324586788,0,0
27,"(41.40304982242223, 2.1439593308726415)","(41.4048433621614, 2.140168670464219)",38.1,380.0,9.973753280839894,81.844,95.53,0.036015781603361434,3.6015781603361434,0.03600022124998357,1,0
28,"(41.4048433621614, 2.140168670464219)","(41.406783863617996, 2.1387348325122604)",25.9,256.8,9.915057915057917,95.53,106.429,0.04244159686602536,4.244159686602536,0.042416141176297606,1,0
29,"(41.406783863617996, 2.1387348325122604)","(41.40836, 2.137831)",17.2,190.8,11.093023255813955,106.429,116.708,0.05387316209965032,5.387316209965032,0.05382113366272507,1,0
